,index,author,name,line,lemmed_line,name
189,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
190,8,Александр Сумароков,В роще девки гуляли...,Так и мне неудобно,так и я неудобно,В роще девки гуляли...
191,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
192,8,Александр Сумароков,В роще девки гуляли...,"Быть неверной подобно"".",быть неверный подобно,В роще девки гуляли...
193,8,Александр Сумароков,В роще девки гуляли...,Калина и пр.,калина и пр,В роще девки гуляли...
194,9,Давид Самойлов,Наташа,Круглый двор,круглый двор,Наташа
195,9,Давид Самойлов,Наташа,с кринолинами клумб.,с кринолин клумба,Наташа
196,9,Давид Самойлов,Наташа,Неожиданный клуб,неожиданный клуб,Наташа
197,9,Давид Самойлов,Наташа,"страстей и гостей,",страсть и гость,Наташа
198,9,Давид Самойлов,Наташа,приезжающих цугом.,приезжать цугом,Наташа
199,9,Давид Самойлов,Наташа,И откуда-то с полуиспугом -,и откуда то с полуиспуг,Наташа
200,9,Давид Самойлов,Наташа,"Наташа,",наташа,Наташа
201,9,Давид Самойлов,Наташа,"она,",она,Наташа
202,9,Давид Самойлов,Наташа,"каблучками стуча,",каблучок стучать,Наташа
203,9,Давид Самойлов,Наташа,"выбегает, выпархивает -",выбегать выпархивать,Наташа
204,9,Давид Самойлов,Наташа,"к Анатолю, к Андрею -",к анатоль к андрей,Наташа
205,9,Давид Самойлов,Наташа,бог знает к кому!-,бог знать к кто,Наташа
206,9,Давид Самойлов,Наташа,"на асфальт, на проезд,",на асфальт на проезд,Наташа
207,9,Давид Самойлов,Наташа,"под фасетные буркалы автомобилей,",под фасетной буркал автомобиль,Наташа
208,9,Давид Самойлов,Наташа,"вылетает, выпархивает без усилий",вылетать выпархивать без усилие,Наташа
209,9,Давид Самойлов,Наташа,всеми крыльями,весь крыло,Наташа
210,9,Давид Самойлов,Наташа,девятнадцати лет -,девятнадцать год,Наташа
211,9,Давид Самойлов,Наташа,"как цветок на паркет,",как цветок на паркет,Наташа
212,9,Давид Самойлов,Наташа,"как букет на подмостки,-",как букет на подмостки,Наташа
213,9,Давид Самойлов,Наташа,в лоск асфальта,в лоск асфальт,Наташа
214,9,Давид Самойлов,Наташа,"из барского особняка,",из барский особняк,Наташа
215,9,Давид Самойлов,Наташа,"чуть испуганная,",чуть испугать,Наташа
216,9,Давид Самойлов,Наташа,словно птица на волю -,словно птица на воля,Наташа
217,9,Давид Самойлов,Наташа,"не к Андрею,",не к андрей,Наташа
218,9,Давид Самойлов,Наташа,бог знает к кому -,бог знать к кто,Наташа
219,9,Давид Самойлов,Наташа,к Анатолю?..,к анатоль,Наташа
220,9,Давид Самойлов,Наташа,Дождь стучит в целлофан,дождь стучать в целлофан,Наташа
221,9,Давид Самойлов,Наташа,пистолетным свинцом...,пистолетный свинец,Наташа
222,9,Давид Самойлов,Наташа,"А она, не предвидя всего,",а она не предвидеть всего,Наташа
223,9,Давид Самойлов,Наташа,"что ей выпадет вскоре на долю,",что она выпадать вскоре на доля,Наташа
224,9,Давид Самойлов,Наташа,выбегает,выбегать,Наташа
225,9,Давид Самойлов,Наташа,с уже обреченным лицом.,с уже обреченный лицо,Наташа
226,10,Рюрик Ивнев,Животворящий взгляд,"Казалось мне, что все слова истерты,",казаться я что весь слово истирать,Животворящий взгляд
227,10,Рюрик Ивнев,Животворящий взгляд,"Что свежих слов мне не найти родник,",что свежий слово я не находить родник,Животворящий взгляд
228,10,Рюрик Ивнев,Животворящий взгляд,"Но взгляд один — и воскресает мертвый,",но взгляд один и воскресать мертвый,Животворящий взгляд
229,10,Рюрик Ивнев,Животворящий взгляд,И оживает скованный язык.,и оживать скованный язык,Животворящий взгляд
230,10,Рюрик Ивнев,Животворящий взгляд,"Но взгляд не тот, что в тишине укромной",но взгляд не тот что в тишина укромный,Животворящий взгляд
231,10,Рюрик Ивнев,Животворящий взгляд,"Ласкал меня, как трепетный ночник,",ласкать я как трепетный ночник,Животворящий взгляд
232,10,Рюрик Ивнев,Животворящий взгляд,"А тот палящий, из пространств огромных,",а тот палящий из пространство огромный,Животворящий взгляд
233,10,Рюрик Ивнев,Животворящий взгляд,Что вместе с бурей предо мной возник.,что вместе с буря предо я возникать,Животворящий взгляд
